City,State,Employment,Employment per 1000 jobs,Location quotient,Hourly mean wage,Annual mean wage,Expected State Tax Bracket,Expected Federal Tax Bracket,Federal + State Tax for Bracket,Net Expected Profit,Net Expected Monthly Profit,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-Range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0.5 liter draught, in restaurants)","Imported Beer (0.33 liter bottle, in restaurants)","Cappuccino (regular, in restaurants)","Coke/Pepsi (0.33 liter bottle, in restaurants)","Water (0.33 liter bottle, in restaurants)","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),"Water (1.5 liter bottle, at the market)","Bottle of Wine (Mid-Range, at the market)","Domestic Beer (0.5 liter bottle, at the market)","Imported Beer (0.33 liter bottle, at the market)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, …)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",data_quality
New York City,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",$25.00,$100.00,$10.00,$8.00,$10.00,$5.38,$2.72,$2.32,$1.25,$4.13,$7.95,$3.93,$16.58,$17.88,$20.57,$5.52,$2.50,$4.98,$6.22,$4.16,$3.73,$2.68,$2.43,$16.50,$3.15,$3.95,$15.00,$2.75,$129.50,$4.25,$1.86,$32.50,$1.29,"$25,000.00","$23,879.37",$171.08,$0.10,$69.18,$106.15,$37.86,$18.00,"$2,444.17","$41,333.33",$62.13,$57.42,$94.15,$145.80,"$3,851.51","$2,337.00","$7,146.84","$4,365.28","$14,784.44","$9,531.27","$6,066.38",5.4,1
Los Angeles,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$20.00,$87.09,$10.00,$7.50,$8.00,$4.95,$2.70,$2.28,$1.14,$3.80,$5.64,$3.84,$12.50,$11.58,$17.97,$4.09,$1.76,$3.49,$4.13,$2.72,$2.20,$1.79,$1.99,$12.00,$2.56,$2.95,$11.25,$1.75,$99.50,$4.00,$1.71,$29.19,$1.59,"$25,000.00","$22,886.54",$140.69,$0.12,$67.95,$45.55,$10.75,$16.00,"$1,361.25","$22,929.57",$59.76,$40.75,$94.31,$133.00,"$2,568.47","$1,952.66","$4,668.57","$3,599.83","$9,219.44","$6,135.43","$5,440.69",5.27,1
Chicago,Illinois,"6,350",1.08,1.00,$52.82 ,"$109,870.00 ",4.84,15.56,20.40,"$87,457 ","$7,288 ",$20.00,$80.00,$9.50,$5.50,$6.50,$4.70,$2.29,$1.99,$0.84,$3.18,$3.73,$2.98,$12.21,$10.47,$16.15,$5.15,$1.58,$3.15,$3.78,$1.90,$2.08,$1.66,$2.02,$13.99,$2.75,$3.69,$15.00,$2.50,$90.00,$3.50,$2.11,$30.00,$1.39,"$23,197.50","$24,878.12",$163.78,$0.33,$63.93,$59.64,$7.22,$15.00,"$1,477.11","$19,997.72",$56.05,$37.81,$86.95,$95.95,"$1,969.12","$1,436.82","$3,911.76","$2,450.00","$3,498.00","$2,389.59","$4,814.48",5.56,1
Miami,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$20.00,$100.00,$9.50,$6.00,$8.00,$4.64,$2.19,$2.03,$1.14,$3.14,$5.48,$3.92,$12.08,$16.04,$14.84,$6.72,$1.93,$4.86,$5.05,$3.38,$3.17,$1.92,$1.89,$12.00,$2.25,$2.99,$8.00,$2.50,$111.00,$3.50,$1.55,$24.00,$1.12,"$25,000.00","$24,272.73",$151.68,$0.20,$65.00,$46.47,$17.50,$15.00,"$1,000.00","$17,750.00",$47.71,$40.36,$79.44,$105.77,"$2,585.94","$1,902.27","$4,658.00","$3,168.42","$6,516.50","$2,973.53","$4,216.70",5.33,1
Philadelphia,Pennsylvania,"6,370",1.1,1.02,$46.12 ,"$95,940.00 ",3.07,14.46,17.53,"$79,122 ","$6,593 ",$19.00,$67.50,$8.00,$6.00,$8.00,$4.60,$2.33,$1.52,$1.26,$3.57,$4.46,$3.46,$13.21,$14.47,$14.90,$5.19,$1.50,$4.68,$5.35,$3.54,$2.99,$1.95,$1.74,$15.00,$2.73,$4.41,$11.00,$2.50,$96.00,$3.59,$3.42,$25.00,$1.20,"$23,000.00","$24,062.50",$166.42,$0.18,$67.55,$49.06,$16.00,$14.00,"$1,225.00","$32,633.33",$45.36,$36.91,$84.43,$122.62,"$1,886.56","$1,260.83","$3,087.50","$2,141.18","$5,651.05","$2,690.98","$4,897.71",5,1
Dallas,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$20.00,$75.00,$8.00,$5.00,$7.00,$4.66,$2.27,$1.50,$0.89,$3.19,$4.11,$3.00,$10.40,$13.17,$16.23,$4.77,$1.93,$4.68,$4.18,$3.55,$2.90,$1.73,$2.27,$12.00,$3.10,$4.08,$9.25,$2.75,$96.00,$2.80,$1.12,$25.50,$1.14,"$24,190.00","$22,234.25",$166.81,$0.18,$69.30,$42.18,$10.55,$13.50,$975.00,"$13,085.17",$52.74,$45.75,$83.50,$123.16,"$1,799.71","$1,416.26","$3,498.93","$2,434.73","$3,115.63","$1,968.67","$5,459.79",4.65,1
Houston,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$16.50,$75.00,$9.00,$5.31,$6.00,$4.74,$2.24,$1.73,$0.95,$3.02,$3.28,$3.15,$11.94,$9.11,$14.17,$4.47,$1.24,$3.28,$3.23,$2.21,$2.19,$1.57,$2.08,$12.00,$2.87,$3.30,$8.00,$1.25,$40.00,$2.95,$3.10,$30.00,$1.03,"$27,000.00","$24,083.81",$164.90,$0.30,$73.91,$43.45,$20.00,$12.00,"$1,273.68","$23,535.71",$48.00,$40.14,$80.23,$102.86,"$1,590.76","$1,246.59","$2,941.19","$1,941.97","$2,958.88","$1,733.97","$5,085.45",4.91,1
Atlanta,Georgia,"5,650",1.23,1.14,$51.15 ,"$106,400.00 ",5.19,15.29,20.48,"$84,609 ","$7,051 ",$15.00,$65.00,$8.25,$6.00,$6.25,$4.67,$2.06,$1.68,$0.88,$2.67,$4.57,$2.86,$12.34,$10.83,$13.32,$5.17,$1.55,$5.30,$4.50,$3.13,$2.42,$1.74,$2.01,$10.00,$3.02,$3.61,$7.00,$2.50,$95.00,$2.62,$2.17,$24.00,$1.01,"$27,000.00","$21,902.38",$213.22,$0.23,$73.70,$40.18,$21.75,$15.00,"$1,478.00","$27,017.75",$56.38,$38.48,$83.75,$89.44,"$1,883.81","$1,540.80","$3,275.00","$2,203.08","$4,122.58","$2,098.96","$4,878.17",4.84,1
Washington,District of Columbia,,,,,,,,,,,$18.00,$80.00,$9.00,$7.25,$8.00,$4.82,$2.47,$2.12,$1.01,$3.24,$4.53,$3.48,$13.85,$11.91,$16.56,$5.52,$1.97,$5.53,$6.40,$3.41,$3.10,$2.31,$2.20,$15.00,$3.11,$3.75,$11.00,$2.75,$102.00,$5.00,$1.34,$35.00,$1.24,"$24,190.00","$21,599.78",$156.98,$0.17,$58.45,$86.88,$18.33,$13.99,"$2,260.91","$30,609.75",$54.70,$33.42,$96.75,$132.00,"$2,307.11","$1,882.14","$4,600.00","$3,150.00","$7,882.02","$4,843.76","$5,907.32",5.16,1
Boston,Massachusetts,,,,,,,,,,,$20.00,$100.00,$10.60,$7.00,$8.00,$4.89,$2.36,$2.07,$1.09,$3.92,$4.04,$3.45,$16.08,$12.83,$15.78,$4.74,$1.51,$4.99,$5.70,$2.69,$3.21,$2.32,$2.17,$16.50,$1.98,$3.48,$13.00,$2.40,$90.00,$3.00,$1.86,$24.00,$1.24,"$25,000.00","$22,518.71",$175.95,$0.23,$60.18,$70.65,$38.33,$15.00,"$2,055.56","$35,200.00",$52.74,$40.00,$85.24,$117.75,"$2,691.67","$1,959.38","$5,017.15","$3,357.41","$10,988.97","$6,302.27","$5,241.13",4.99,1
